1what shows cystic degeneration in a hypointense intrauterine fibroid?	IJRI-18-69-g006	mri
2what  11c 5htp scanning of a patient with midgut carcinoid tumor show?	thnov02p0448g05	mri
3what show putamen necrosis?	JFMPC-4-470-g005	mri
4what show hyperintensity in  right optic nerve head?	omv05405	mri
5what show edema and breakdown of muscle architecture of  left thigh?	JCHIMP-3-20494-g002	mri
6what show putamen necrosis?	JFMPC-4-470-g004	mri
7what show soft tissue thickening of  top wall of  nasopharynx?	OL-08-02-0753-g01	mri
8what show multiple cysticerci involving both orbits with proptosis?	JGID-3-306-g003	mri
9what show a significant decrease in  extent of involvement?	1752-1947-2-236-3	mri
10what show a mass that shows moderate homogenous hyperintensity?	1752-1947-6-282-3	mri
11what show  multiple cerebral infarctions in both high frontal lobes?	jcu-19-35-g001	mri
12what show measurements of subacromial volume?	IJOrtho-49-300-g001	mri
13what show cord ending at l3?	AJNS-10-226-g003	mri
14what show parasagittal hyper intense mass with mass effect?	AIAN-11-254-g002	mri
15what show an intra cardiac mass in  anterior side of  right atrial wall encasing a right coronary artery?	kjim-27-224-g002	mri
16what show extensive marrow oedema of  left pubic ramus?	1752-1947-2-255-1	mri
17what show that re were no abnormalities in t1 weighted imaging?	pjms-29-869-g001	mri
18what show lowest level of spinal cord at t12 l1 disc?	IJOrtho-45-63-g001	mri
19what shows evidence of predominantly right frontal cerebritis with early abscess formation?	SHORTS-10-08902	mri
20what show mild periorbital swelling and edema of  extraocular muscles in  right eye?	kjo-20-139-g003	mri
21what show resolution of lesions?	IJOrtho-48-220-g003	mri
22what show thinned out optic nerves with hypoplastic chiasma?	MEAJO-21-262-g003	mri
23what shows increased signal in  right and left acetabulum?	12969_2015_23_Fig2_HTML	mri
24what show an enhancing paraspinal mass with foraminal extension?	SNI-2-18-g003	mri
25what shows anterior displacement of spinal cord at d1 d8 level with no intracal contrast above d1 level?	JNRP-3-350-g001	mri
26what show extensive myelitis?	1471-2334-12-232-2	mri
27what show healthy back muscle?	asj-3-89-g001	mri
28what show typical low signal intensity?	IJRI-19-222-g002	mri
29what show marked effusion over left hip joint?	1752-1947-8-367-4	mri
30what show epidural abscess in  right parasagittal section?	IJA-56-287-g002	mri
31what shows a balky tumor in lower rectum?	40792_2015_119_Fig3_HTML	mri
32what show a double bladder with urinary output of both kidneys to  bladders?	1756-0500-6-412-1	mri
33what shows right occipital lobe hemorrhage?	IndianJOphthalmol-56-159-g002	mri
34what show  membrane in  oropharynx and no involvement of  airway below?	JOACP-27-389-g002	mri
35what show areas of hyper intensity involving caudate nucleus and thalamus?	JFMPC-3-443-g002	mri
36what shows a irregular calcification involving posterior neck within soft tissue mass compatible with fat tissue?	jkns-54-518-g001	mri
37what show absence of talar avn?	aob-21-226-g03	mri
